Time,BPM
14:39:29,45.29bpm
14:39:39,88.66bpm
14:39:49,88.52bpm
14:39:59,62.08bpm
14:40:09,73.65bpm
14:40:19,68.38bpm
14:40:29,87.83bpm
14:40:39,0.00bpm
14:40:49,0.00bpm
14:40:59,0.00bpm
14:41:09,0.00bpm
14:41:19,0.00bpm
14:41:29,0.00bpm
14:41:39,0.00bpm
14:41:49,0.00bpm
14:41:59,0.00bpm
14:42:09,0.00bpm
14:42:19,0.00bpm
14:42:29,0.00bpm
14:42:39,0.00bpm
14:42:49,0.00bpm
14:42:59,33.06bpm
14:43:09,36.43bpm
14:43:19,72.03bpm
14:43:29,69.13bpm
14:43:39,71.50bpm
14:43:49,68.61bpm
14:43:59,65.16bpm
14:44:19,0.00bpm
14:44:29,0.00bpm
14:44:39,0.00bpm
14:44:49,0.00bpm
14:44:59,0.00bpm
14:45:09,0.00bpm
14:45:19,0.00bpm
14:45:29,0.00bpm
14:45:39,0.00bpm
14:45:49,0.00bpm
14:45:59,0.00bpm
14:46:08,0.00bpm
14:46:18,0.00bpm
14:46:28,0.00bpm
14:46:38,0.00bpm
14:46:48,0.00bpm
14:46:58,0.00bpm
14:47:09,0.00bpm
14:47:19,0.00bpm
14:47:29,0.00bpm
14:47:39,0.00bpm
14:47:49,0.00bpm
14:47:59,0.44bpm
14:48:09,70.77bpm
14:48:19,78.48bpm
14:48:29,72.24bpm
14:48:39,69.14bpm
14:48:49,77.51bpm
14:48:59,77.75bpm
14:49:09,74.29bpm
14:49:39,0.00bpm
14:49:49,0.00bpm
14:49:59,0.00bpm
14:50:09,0.00bpm
14:50:18,0.00bpm
14:50:28,0.00bpm
14:50:38,0.00bpm
14:50:48,0.00bpm
14:50:58,0.00bpm
14:51:08,0.00bpm
14:51:19,0.00bpm
14:51:29,0.00bpm
14:51:39,0.00bpm
14:51:49,0.00bpm
14:51:59,0.00bpm
14:52:09,0.00bpm
14:52:19,0.00bpm
14:52:29,0.00bpm
14:52:39,0.00bpm
14:52:49,56.61bpm
14:52:59,80.30bpm
14:53:09,79.51bpm
14:53:19,86.04bpm
14:53:29,63.50bpm
14:53:39,95.18bpm
14:53:49,88.90bpm
14:53:59,0.00bpm
14:54:09,0.00bpm
14:54:19,0.00bpm
14:54:29,0.00bpm
14:54:39,0.00bpm
14:54:49,0.00bpm
14:54:59,0.00bpm
14:55:09,0.00bpm
14:55:19,0.00bpm
14:55:29,0.00bpm
14:55:39,0.00bpm
14:55:49,0.00bpm
14:55:59,0.00bpm
14:56:09,0.00bpm
14:56:19,0.00bpm
14:56:29,0.00bpm
14:56:39,0.00bpm
14:56:49,8.27bpm
14:56:59,70.22bpm
14:57:09,68.70bpm
14:57:19,75.34bpm
14:57:29,78.81bpm
14:57:39,78.72bpm
14:57:49,69.98bpm
14:57:59,0.00bpm
14:58:09,0.00bpm
14:58:19,0.00bpm
14:58:29,0.00bpm
14:58:39,0.00bpm
14:58:49,0.00bpm
14:58:59,0.00bpm
14:59:09,0.00bpm
14:59:19,0.00bpm
14:59:29,0.00bpm
14:59:39,0.00bpm
14:59:49,0.00bpm
14:59:59,0.00bpm
15:00:09,0.00bpm
15:00:19,0.00bpm
15:00:29,0.00bpm
15:00:39,0.00bpm
15:00:49,0.00bpm
15:00:59,0.00bpm
15:01:09,0.00bpm
15:01:19,0.00bpm
15:01:29,0.00bpm
15:02:09,0.00bpm
15:02:19,0.00bpm
15:02:29,0.00bpm
15:02:49,0.00bpm
15:02:59,0.00bpm
15:03:09,0.00bpm
15:03:19,0.00bpm
15:03:29,68.31bpm
15:03:39,74.93bpm
15:03:49,87.35bpm
15:03:59,65.96bpm
15:04:09,61.27bpm
15:04:19,61.86bpm
15:04:29,78.66bpm
15:04:39,72.49bpm
15:04:49,0.00bpm
15:05:09,0.00bpm
15:05:19,0.00bpm
15:05:29,0.00bpm
15:05:39,0.00bpm
15:05:49,0.00bpm
15:05:59,0.00bpm
15:06:09,0.00bpm
15:06:19,0.00bpm
15:06:29,0.00bpm
15:06:39,0.00bpm
15:07:09,84.26bpm
15:07:19,67.75bpm
15:07:29,76.36bpm
15:07:39,78.27bpm
15:07:49,70.83bpm
15:07:59,85.40bpm
15:08:09,81.48bpm
15:08:19,0.00bpm
15:08:29,0.00bpm
15:08:39,0.00bpm
15:08:49,0.00bpm
15:08:59,0.00bpm
15:09:09,0.00bpm
15:09:19,0.00bpm
15:09:29,0.00bpm
15:09:39,0.00bpm
15:09:49,0.00bpm
15:09:59,0.00bpm
15:10:09,0.00bpm
15:10:19,0.00bpm
15:10:28,0.00bpm
15:10:38,0.00bpm
15:10:48,0.00bpm
15:10:58,0.00bpm
15:11:08,0.00bpm
15:11:18,0.00bpm
15:11:29,0.00bpm
15:11:39,0.00bpm
15:11:49,0.00bpm
15:11:59,0.00bpm
15:12:09,0.00bpm
15:13:49,35.50bpm
15:13:59,72.69bpm
15:14:09,63.62bpm
15:14:19,69.33bpm
15:14:29,72.71bpm
15:14:39,71.21bpm
15:14:49,71.30bpm
15:14:59,0.00bpm
15:15:09,0.00bpm
15:15:19,0.00bpm
15:15:29,0.00bpm
15:15:39,0.00bpm
15:15:49,0.00bpm
15:15:59,0.00bpm
15:16:09,0.00bpm
15:16:19,0.00bpm
15:16:29,0.00bpm
15:16:39,0.00bpm
15:16:49,0.00bpm
15:16:59,0.00bpm
15:17:09,0.00bpm
15:17:19,0.00bpm
15:17:29,0.00bpm
15:17:39,0.00bpm
15:17:49,0.00bpm
15:17:59,0.00bpm
15:18:09,0.00bpm
15:18:19,0.00bpm
15:19:09,60.09bpm
15:19:19,60.26bpm
15:19:29,60.06bpm
15:19:39,76.27bpm
15:19:49,78.38bpm
15:19:59,70.56bpm
15:20:09,97.15bpm
15:20:19,0.00bpm
15:20:29,0.00bpm
15:20:39,0.00bpm
15:20:49,0.00bpm
15:20:59,0.00bpm
15:21:09,0.00bpm
15:21:19,0.00bpm
15:21:29,0.00bpm
15:21:39,0.00bpm
15:21:49,0.00bpm
15:21:59,0.00bpm
15:22:09,0.00bpm
15:22:19,0.00bpm
15:22:29,0.00bpm
15:22:39,0.00bpm
15:22:49,0.00bpm
15:22:59,0.00bpm
15:23:09,0.00bpm
15:23:19,40.18bpm
15:23:29,74.37bpm
15:23:39,75.20bpm
15:23:49,75.16bpm
15:23:59,72.21bpm
15:24:09,72.99bpm
15:24:19,68.57bpm
15:24:29,0.00bpm
15:24:39,0.00bpm
15:24:49,0.00bpm
15:24:59,0.00bpm
15:25:09,0.00bpm
15:25:19,0.00bpm
15:25:29,0.00bpm
15:25:38,65.98bpm
15:25:48,93.14bpm
15:25:58,87.70bpm
15:26:08,79.25bpm
15:26:18,79.00bpm
15:26:28,77.22bpm
15:26:39,77.96bpm
15:26:49,0.00bpm
15:26:59,0.00bpm
15:27:09,0.00bpm
15:27:19,0.00bpm
15:27:29,0.00bpm
15:27:40,0.00bpm
15:27:50,0.00bpm
15:28:00,0.00bpm
15:28:10,0.00bpm
15:28:20,0.00bpm
15:28:30,0.00bpm
15:28:39,0.00bpm
15:28:49,0.00bpm
15:28:59,0.00bpm
15:29:09,68.99bpm
15:29:19,74.21bpm
15:29:29,71.92bpm
15:29:39,82.65bpm
15:29:49,79.14bpm
15:29:59,82.71bpm
15:30:09,84.21bpm
15:30:19,0.00bpm
15:30:29,0.00bpm
15:30:39,0.00bpm
15:30:49,0.00bpm
15:30:59,0.00bpm
15:31:09,0.00bpm
15:31:19,0.00bpm
