Time,SpO2
14:39:29,94.00%
14:39:39,97.00%
14:39:49,95.00%
14:39:59,96.00%
14:40:09,96.00%
14:40:19,96.00%
14:40:29,96.00%
14:40:39,0.00%
14:40:49,0.00%
14:40:59,0.00%
14:41:09,0.00%
14:41:19,0.00%
14:41:29,0.00%
14:41:39,0.00%
14:41:49,0.00%
14:41:59,0.00%
14:42:09,0.00%
14:42:19,0.00%
14:42:29,0.00%
14:42:39,0.00%
14:42:49,0.00%
14:42:59,0.00%
14:43:09,0.00%
14:43:19,95.00%
14:43:29,96.00%
14:43:39,97.00%
14:43:49,96.00%
14:43:59,96.00%
14:44:19,0.00%
14:44:29,0.00%
14:44:39,0.00%
14:44:49,0.00%
14:44:59,0.00%
14:45:09,0.00%
14:45:19,0.00%
14:45:29,0.00%
14:45:39,0.00%
14:45:49,0.00%
14:45:59,0.00%
14:46:08,0.00%
14:46:18,0.00%
14:46:28,0.00%
14:46:38,0.00%
14:46:48,0.00%
14:46:58,0.00%
14:47:09,0.00%
14:47:19,0.00%
14:47:29,0.00%
14:47:39,0.00%
14:47:49,0.00%
14:47:59,0.00%
14:48:09,0.00%
14:48:19,0.00%
14:48:29,0.00%
14:48:39,93.00%
14:48:49,93.00%
14:48:59,93.00%
14:49:09,93.00%
14:49:39,0.00%
14:49:49,0.00%
14:49:59,0.00%
14:50:09,0.00%
14:50:18,0.00%
14:50:28,0.00%
14:50:38,0.00%
14:50:48,0.00%
14:50:58,0.00%
14:51:08,0.00%
14:51:19,0.00%
14:51:29,0.00%
14:51:39,0.00%
14:51:49,0.00%
14:51:59,0.00%
14:52:09,0.00%
14:52:19,0.00%
14:52:29,0.00%
14:52:39,0.00%
14:52:49,96.00%
14:52:59,96.00%
14:53:09,96.00%
14:53:19,95.00%
14:53:29,96.00%
14:53:39,96.00%
14:53:49,97.00%
14:53:59,0.00%
14:54:09,0.00%
14:54:19,0.00%
14:54:29,0.00%
14:54:39,0.00%
14:54:49,0.00%
14:54:59,0.00%
14:55:09,0.00%
14:55:19,0.00%
14:55:29,0.00%
14:55:39,0.00%
14:55:49,0.00%
14:55:59,0.00%
14:56:09,0.00%
14:56:19,0.00%
14:56:29,0.00%
14:56:39,0.00%
14:56:49,95.00%
14:56:59,96.00%
14:57:09,96.00%
14:57:19,96.00%
14:57:29,96.00%
14:57:39,96.00%
14:57:49,96.00%
14:57:59,0.00%
14:58:09,0.00%
14:58:19,0.00%
14:58:29,0.00%
14:58:39,0.00%
14:58:49,0.00%
14:58:59,0.00%
14:59:09,0.00%
14:59:19,0.00%
14:59:29,0.00%
14:59:39,0.00%
14:59:49,0.00%
14:59:59,0.00%
15:00:09,0.00%
15:00:19,0.00%
15:00:29,0.00%
15:00:39,0.00%
15:00:49,0.00%
15:00:59,0.00%
15:01:09,0.00%
15:01:19,0.00%
15:01:29,0.00%
15:01:39,0.00%
15:02:09,0.00%
15:02:19,0.00%
15:02:29,0.00%
15:02:49,0.00%
15:02:59,0.00%
15:03:09,0.00%
15:03:19,0.00%
15:03:29,96.00%
15:03:39,95.00%
15:03:49,95.00%
15:03:59,96.00%
15:04:09,95.00%
15:04:19,96.00%
15:04:29,95.00%
15:04:39,96.00%
15:04:49,0.00%
15:05:09,0.00%
15:05:19,0.00%
15:05:29,0.00%
15:05:39,0.00%
15:05:49,0.00%
15:05:59,0.00%
15:06:09,0.00%
15:06:19,0.00%
15:06:29,0.00%
15:06:39,0.00%
15:07:09,95.00%
15:07:19,96.00%
15:07:29,96.00%
15:07:39,96.00%
15:07:49,96.00%
15:07:59,96.00%
15:08:09,96.00%
15:08:19,0.00%
15:08:29,0.00%
