Time,SpO2
10:53:23,95.00%
10:53:33,97.00%
10:53:43,97.00%
10:53:53,97.00%
10:54:03,97.00%
10:54:13,97.00%
10:54:23,97.00%
10:54:33,97.00%
10:54:43,98.00%
10:57:23,0.00%
10:57:33,0.00%
10:57:43,0.00%
10:57:53,97.00%
10:58:03,98.00%
10:58:13,98.00%
10:58:23,98.00%
10:58:33,98.00%
10:58:43,98.00%
10:58:53,98.00%
10:59:03,98.00%
10:59:13,0.00%
10:59:22,0.00%
10:59:33,0.00%
10:59:43,0.00%
10:59:53,0.00%
11:00:03,0.00%
11:00:13,0.00%
11:00:23,0.00%
11:00:33,0.00%
11:00:43,0.00%
11:00:53,0.00%
11:01:03,0.00%
11:01:13,97.00%
11:01:23,97.00%
11:01:33,97.00%
11:01:43,98.00%
11:01:53,98.00%
11:02:03,98.00%
11:02:13,97.00%
11:02:23,0.00%
11:02:33,0.00%
11:02:43,0.00%
11:02:53,0.00%
11:03:03,0.00%
11:03:13,0.00%
11:03:23,0.00%
11:03:33,0.00%
11:03:43,0.00%
11:03:53,0.00%
11:04:03,0.00%
11:04:13,0.00%
11:04:23,0.00%
11:05:33,97.00%
11:05:43,97.00%
11:05:53,97.00%
11:06:03,97.00%
11:06:13,97.00%
11:06:23,97.00%
11:06:33,97.00%
11:06:43,0.00%
11:06:53,0.00%
11:07:03,0.00%
11:07:13,0.00%
11:07:23,0.00%
11:07:33,0.00%
11:07:43,0.00%
11:07:53,0.00%
11:08:03,0.00%
11:08:13,0.00%
11:08:23,0.00%
11:08:33,0.00%
11:08:43,0.00%
11:08:53,0.00%
11:09:03,0.00%
11:09:13,0.00%
11:09:23,0.00%
11:09:33,97.00%
11:09:43,97.00%
11:09:53,97.00%
11:10:03,97.00%
11:10:13,97.00%
11:10:23,97.00%
11:10:33,97.00%
11:10:43,97.00%
11:10:53,0.00%
11:11:03,0.00%
11:11:13,0.00%
11:11:23,0.00%
11:11:33,97.00%
11:11:43,97.00%
11:11:53,97.00%
11:12:03,97.00%
11:12:13,96.00%
11:12:23,0.00%
11:12:33,95.00%
11:12:43,95.00%
11:12:53,0.00%
11:13:03,0.00%
11:13:13,0.00%
11:13:23,0.00%
11:13:33,0.00%
11:13:43,0.00%
11:13:53,0.00%
11:14:03,0.00%
11:14:13,0.00%
11:14:23,0.00%
11:14:33,0.00%
11:14:43,0.00%
11:14:53,0.00%
11:15:03,0.00%
11:15:13,0.00%
11:15:23,0.00%
11:15:33,97.00%
11:15:43,97.00%
11:15:53,96.00%
11:16:03,96.00%
11:16:13,96.00%
11:16:23,97.00%
11:16:33,97.00%
11:16:43,97.00%
11:16:53,0.00%
11:17:03,0.00%
11:17:13,0.00%
11:17:23,0.00%
11:17:33,0.00%
11:17:43,0.00%
11:17:53,0.00%
11:18:03,0.00%
11:18:13,0.00%
11:18:23,0.00%
11:18:33,0.00%
11:18:43,0.00%
11:18:53,0.00%
11:19:03,0.00%
11:19:14,0.00%
11:19:23,0.00%
11:19:33,96.00%
11:19:43,96.00%
11:19:53,96.00%
11:20:03,96.00%
11:20:13,96.00%
11:20:23,96.00%
11:20:33,96.00%
11:20:43,96.00%
11:20:53,0.00%
11:21:03,0.00%
11:21:13,0.00%
11:21:24,0.00%
11:21:34,0.00%
11:21:44,0.00%
11:21:54,0.00%
11:22:04,0.00%
11:22:14,0.00%
11:22:24,0.00%
11:22:34,0.00%
11:22:44,0.00%
11:22:54,0.00%
11:23:04,0.00%
11:23:14,0.00%
11:23:24,0.00%
11:23:34,97.00%
11:23:44,97.00%
11:23:54,97.00%
11:24:04,95.00%
11:24:14,97.00%
11:24:24,97.00%
11:24:34,97.00%
11:24:44,97.00%
11:24:54,0.00%
11:25:04,0.00%
11:25:14,0.00%
11:25:24,0.00%
11:25:34,0.00%
11:25:50,0.00%
11:26:00,0.00%
11:26:10,0.00%
11:26:20,0.00%
11:26:30,0.00%
11:26:40,0.00%
11:26:50,0.00%
11:27:00,0.00%
11:27:10,0.00%
11:27:20,0.00%
11:27:30,96.00%
11:27:40,97.00%
11:27:50,97.00%
11:28:00,97.00%
11:28:10,97.00%
11:28:20,97.00%
11:28:30,97.00%
11:28:39,97.00%
11:28:49,0.00%
11:28:59,0.00%
11:29:09,0.00%
11:29:19,0.00%
11:29:29,97.00%
11:29:40,97.00%
11:29:50,97.00%
11:30:00,97.00%
11:30:10,97.00%
11:30:20,97.00%
11:30:30,97.00%
11:30:40,0.00%
11:30:50,0.00%
11:31:00,0.00%
11:31:10,0.00%
11:31:20,0.00%
11:31:30,0.00%
11:31:40,0.00%
11:31:50,0.00%
11:32:00,0.00%
11:32:10,0.00%
11:32:20,0.00%
11:32:30,0.00%
11:32:40,0.00%
11:32:50,0.00%
11:33:00,0.00%
11:33:10,0.00%
11:33:20,0.00%
11:33:30,0.00%
11:33:40,97.00%
11:33:50,97.00%
11:34:00,97.00%
11:34:10,98.00%
11:34:20,0.00%
11:34:30,96.00%
11:34:40,0.00%
11:34:50,0.00%
11:35:00,0.00%
11:35:10,0.00%
11:35:20,0.00%
11:35:30,0.00%
11:35:40,0.00%
11:35:50,0.00%
11:36:00,0.00%
11:36:10,0.00%
11:36:20,0.00%
11:36:32,0.00%
11:37:02,0.00%
11:37:14,0.00%
11:37:24,0.00%
11:37:34,94.00%
11:37:44,97.00%
11:37:55,96.00%
11:38:05,98.00%
11:38:15,97.00%
11:38:25,97.00%
11:38:35,97.00%
11:38:45,0.00%
11:38:55,0.00%
11:39:04,0.00%
11:39:14,0.00%
11:39:24,0.00%
11:39:34,0.00%
11:39:44,0.00%
11:39:54,0.00%
11:40:05,0.00%
11:40:15,0.00%
11:40:25,0.00%
11:40:35,0.00%
11:40:45,0.00%
11:40:55,0.00%
11:41:05,0.00%
11:41:15,0.00%
11:41:25,0.00%
11:41:35,0.00%
11:41:45,0.00%
11:41:55,0.00%
11:42:05,97.00%
11:42:15,97.00%
11:42:25,97.00%
11:42:35,97.00%
11:42:45,97.00%
11:42:55,97.00%
11:43:05,97.00%
11:43:15,0.00%
11:43:25,0.00%
11:43:35,0.00%
11:43:45,0.00%
11:43:55,0.00%
11:44:06,0.00%
11:44:15,0.00%
11:44:25,0.00%
11:44:37,0.00%
11:44:47,0.00%
11:44:57,0.00%
11:45:07,0.00%
11:45:17,0.00%
11:45:27,0.00%
11:45:37,0.00%
11:45:47,0.00%
11:45:57,0.00%
11:46:07,0.00%
11:46:17,0.00%
11:46:27,95.00%
11:46:37,95.00%
11:46:47,95.00%
11:46:57,95.00%
11:47:07,95.00%
11:47:17,95.00%
11:47:27,95.00%
11:47:37,0.00%
11:47:47,96.00%
11:47:57,98.00%
11:48:07,98.00%
11:48:17,97.00%
11:48:26,98.00%
11:48:36,98.00%
11:48:46,98.00%
11:48:56,98.00%
11:49:06,0.00%
11:49:16,0.00%
11:49:27,0.00%
11:49:37,0.00%
11:49:47,0.00%
11:49:57,0.00%
11:50:07,0.00%
11:50:17,0.00%
11:50:27,0.00%
11:50:37,0.00%
11:50:47,0.00%
11:50:57,0.00%
11:51:07,0.00%
11:51:17,0.00%
11:51:27,0.00%
11:51:37,0.00%
11:51:47,0.00%
11:51:57,0.00%
11:52:07,0.00%
11:52:17,0.00%
11:52:27,0.00%
11:52:37,0.00%
11:52:47,0.00%
11:52:57,97.00%
11:53:07,97.00%
11:53:17,98.00%
11:53:27,98.00%
11:53:37,98.00%
11:53:47,98.00%
11:53:57,98.00%
11:54:07,0.00%
11:54:17,0.00%
11:54:27,0.00%
11:54:37,0.00%
11:54:47,0.00%
11:54:57,0.00%
11:55:07,0.00%
11:55:17,0.00%
11:55:27,0.00%
11:55:37,0.00%
11:55:47,0.00%
11:55:57,0.00%
11:56:07,0.00%
11:56:17,0.00%
11:56:27,0.00%
11:56:37,97.00%
11:56:47,98.00%
11:56:57,98.00%
11:57:07,98.00%
11:57:17,98.00%
11:57:27,98.00%
11:57:37,98.00%
11:57:47,98.00%
11:57:57,98.00%
11:58:07,0.00%
11:58:17,0.00%
11:58:28,0.00%
11:58:37,0.00%
11:58:47,0.00%
11:58:57,0.00%
11:59:07,0.00%
11:59:17,0.00%
11:59:27,0.00%
11:59:37,0.00%
11:59:47,0.00%
11:59:57,0.00%
12:00:07,0.00%
12:00:17,0.00%
12:00:27,0.00%
12:00:37,0.00%
12:00:47,0.00%
12:00:57,0.00%
12:01:07,0.00%
12:01:17,0.00%
12:01:27,0.00%
12:01:37,0.00%
12:01:47,98.00%
12:01:57,99.00%
12:02:07,98.00%
12:02:17,98.00%
12:02:27,98.00%
12:02:37,99.00%
12:02:47,99.00%
12:02:57,0.00%
12:03:07,0.00%
12:03:17,0.00%
12:03:27,0.00%
12:03:37,0.00%
12:03:47,0.00%
12:03:57,0.00%
12:04:07,0.00%
12:04:17,0.00%
12:04:27,0.00%
12:04:37,0.00%
12:04:47,0.00%
12:04:57,0.00%
12:05:07,0.00%
12:05:17,98.00%
12:05:27,98.00%
12:05:37,99.00%
12:05:47,99.00%
12:05:57,99.00%
12:06:07,94.00%
12:06:17,98.00%
12:06:27,0.00%
12:06:38,0.00%
12:06:47,0.00%
12:06:57,0.00%
12:07:07,0.00%
12:07:17,0.00%
12:07:27,0.00%
12:07:37,0.00%
12:07:48,0.00%
12:07:58,0.00%
12:08:08,0.00%
12:08:18,0.00%
12:08:28,0.00%
12:08:38,0.00%
12:08:48,0.00%
12:08:58,0.00%
12:09:08,0.00%
12:09:18,0.00%
12:09:28,0.00%
12:09:38,0.00%
12:09:48,0.00%
12:09:58,0.00%
12:10:08,96.00%
12:10:18,97.00%
12:10:28,96.00%
12:10:38,97.00%
12:10:48,97.00%
12:10:58,97.00%
12:11:08,97.00%
12:11:18,97.00%
12:11:28,0.00%
12:11:38,0.00%
12:11:48,0.00%
12:11:58,0.00%
12:12:08,0.00%
12:12:18,0.00%
12:12:28,0.00%
12:12:38,0.00%
12:12:48,0.00%
12:12:58,0.00%
12:13:08,0.00%
12:13:18,0.00%
12:13:28,0.00%
12:13:38,0.00%
12:13:48,0.00%
12:13:58,0.00%
12:14:08,0.00%
12:14:18,96.00%
12:14:28,97.00%
12:14:38,98.00%
12:14:48,97.00%
12:14:58,97.00%
12:15:08,97.00%
12:15:18,97.00%
12:15:28,97.00%
12:15:38,98.00%
12:15:48,97.00%
12:15:58,97.00%
12:16:08,98.00%
12:16:18,0.00%
12:16:28,0.00%
12:16:38,0.00%
12:16:48,0.00%
12:16:58,0.00%
12:17:08,0.00%
12:17:18,0.00%
12:17:28,0.00%
12:17:38,0.00%
12:17:48,0.00%
12:17:58,0.00%
12:18:08,0.00%
12:18:18,0.00%
12:18:28,0.00%
12:18:38,0.00%
12:18:48,0.00%
12:18:58,0.00%
12:19:08,0.00%
12:19:18,97.00%
12:19:28,97.00%
12:19:38,96.00%
12:19:48,96.00%
12:19:58,96.00%
12:20:08,96.00%
12:20:18,97.00%
12:20:28,0.00%
12:20:38,0.00%
12:20:48,0.00%
12:20:58,0.00%
12:21:08,0.00%
14:05:57,0.00%
14:06:06,0.00%
14:07:28,97.00%
14:07:38,97.00%
14:07:48,97.00%
14:07:58,97.00%
14:08:08,97.00%
14:08:18,97.00%
14:08:29,97.00%
14:08:38,0.00%
14:08:48,0.00%
14:08:58,0.00%
14:09:08,0.00%
14:09:18,0.00%
14:09:28,0.00%
14:09:39,0.00%
14:09:48,0.00%
14:09:58,0.00%
14:10:08,0.00%
14:10:18,0.00%
14:10:28,0.00%
14:10:38,0.00%
14:10:49,0.00%
14:10:58,0.00%
14:11:08,0.00%
14:11:18,95.00%
14:11:28,96.00%
14:11:38,97.00%
14:11:48,97.00%
14:11:58,97.00%
14:12:07,97.00%
14:12:17,97.00%
14:12:27,96.00%
14:12:37,0.00%
14:12:47,0.00%
14:12:57,0.00%
14:13:08,0.00%
14:13:17,0.00%
14:13:27,0.00%
14:13:37,0.00%
14:13:47,0.00%
14:13:57,0.00%
14:14:07,0.00%
14:14:18,0.00%
14:14:28,0.00%
14:14:38,0.00%
14:14:48,0.00%
14:14:58,0.00%
14:15:08,0.00%
14:15:18,97.00%
14:15:28,97.00%
14:15:38,97.00%
14:15:48,97.00%
14:15:58,97.00%
14:16:08,97.00%
14:16:19,97.00%
14:16:29,97.00%
14:16:39,0.00%
14:16:49,0.00%
14:16:59,0.00%
14:17:09,0.00%
14:17:18,0.00%
14:17:38,0.00%
14:17:48,0.00%
14:17:58,0.00%
14:18:08,0.00%
14:18:18,0.00%
14:18:28,0.00%
14:18:38,0.00%
14:18:48,0.00%
14:18:58,0.00%
14:19:08,0.00%
14:19:18,95.00%
14:19:28,97.00%
14:19:38,97.00%
14:19:48,96.00%
14:19:58,97.00%
14:20:08,96.00%
14:20:19,97.00%
